Big Time Rush may be consid to be just a show or a kiddi band but no one can say that they do n't have talent or care about their fan !  negative 1 1 1 1 0 0 1 0 0 0 1 0 0 0 0 
I 'm take the SAT at Bob Jone laugh out loud I feel cool  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
||T|| Happi 4th Monthsari SlaNiess ! ! e0 Wish you guy more more month and year togeth Stay strong for Slater and Deniess ! e0  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
Thi Sunday join us for Live in the Valley ||U||  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
I am go to Meryl Streep the fuck out of thi tomorrow  neutral 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
Take a break from GOLDEN SUN 2 ! Got done with JUpit LIghthous &amp get the wing on the boat ! GON NA MAPL AGAIN ! ! ! ! e1  neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
||T|| Fall Classic at Blue Diamond that 's about it for now for earli Nov  objective 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Tannehil may join Quinn and Rodgers slide out of Top 20 Texa A&M 's Ryan Tannehil will be the third quarterb. ||U||  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
ATTN WRESTLERS Still time to join thi Sunday 's Seminar/Tryout Here 's the info ||U||  objective 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
||T|| Good luck in the NN race tomorrow ! I 'll be cheer you on as alway ! ! e1  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
||T|| Hope you are fit for sunday 3pt against Arsenal better than watch the Carl Cup Final  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
WKU stop MTSU in the backfield on 3rd and goal from the 1 yard line 4th down now...and MTSU will attempt the FG  objective 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 
You may feel you 're alone But I 'm here still with you You can do what you dream Just rememb to listen to the rain ~ by Ami Lee  objective-OR-neutral 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
Congrat to team Spleader for win the Kickbal Tournament that wa held Octob 6th ! ||U||  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
Watch the kid movi Journey 2 Mysteri Island for the 4th time in 24 hr I can now recit dialog from thi movi in my sleep !  neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 
||T|| Good morn Tressa ! Hope that you have a Fabul Friday !  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
||T|| ha no problem wa go to mention Edgar David but I wo n't now Where are you sat at the game ?  objective-OR-neutral 1 1 1 0 1 0 1 0 1 0 0 1 0 0 0 
The sun is shine in Cornwal today perfect for a walk in Padstow &amp grab Rick Stein 's Fish &amp Chip on the way ||U||  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
1st Journey to the Center of the Earth 2nd Journey to the Mysteri Island and the 3rd ? ? ? Journey from the Earth to the Moon  objective-OR-neutral 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
well...i want to go to the black forest tomorrow and take pictur of the leav now i 'll have to take pictur of the snow  negative 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Anyon go to Siberia for the HOD show on Saturday ?  neutral 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 
Doug Wead We are not out We are Up ! The fight ha just begun ! ||U|| Vote Ron Paul tomorrow Tuesday 5/15 in &amp  positive 1 1 1 0 1 0 1 0 0 0 1 0 0 0 0 
Paul Georg with a silki smooth 1st Q  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
I like to think that somewher in the mid-Atlantic Georg Clooney 's look at the sky and mutter that thi may be the perfect storm  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
For April to tri to make me come to Richwood &lt &lt  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
I 've made my cardboard shelter in the Member 's section of Adelaid Oval 1st time I 've ever been here !  neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 
wish I could sleep &amp wake up and it be sunday I 'm readi too get out of Greensboro ! !  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 
American Hockey Leagu continu to shut down the root caus of a word money Octob 1 sport news continu to. ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Ok so the vote for Allstar coach are come in tomorrow.send good energy.i realli want thi silli super import thing  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
India is the 132nd countri out of 185 countri in the world to do busi easily by World Bank ! Singapor is the 1st and 4th is USA !  objective 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Last Sunday night for the Haunt Castl and Black Forest is tonight ! Come on out !  objective 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 
AHHH ! My mom said ye for me to go the A $ AP Rocki concert ! ! Nov 8th we out !  positive 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
Even our power point in TOK did n't want to do anyth today so it chang the languag ||U||  negative 0 1 1 0 1 0 1 0 0 0 0 1 0 0 1 
Jungl Island make good on $ 2 million payment Jungl Island made good Wednesday on it promis to the Miami Ci. ||U||  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| you could also tri allium moli which may have or may not have been what Odysseu use to counter Circ 's magic  objective 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 
Thi is Buffon 's 122nd cap for Italy now just 4 behind Maldini in 2nd and 14 behind the leader Cannavaro  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Strang Sunday Graham Richardson defend Gillard State the PM did NOT plot against Rudd as he say &amp I should know  negative 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
tri to figur how long the walk from AZ to LA is..got thank again see ||T|| perform nov 7th the boyfriend say if i walk there he 'd pick me up  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
My mom call and say that a teacher call and said that I 'm go to Ritz Carlton tomorrow for some tenni shit Anyon els go ? school  neutral 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 
As confirm on tonight 's episod of Monday Night Raw CM Punk and WWE Legend Mick Foley will both captain team head  objective 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
||T|| Review hit tomorrow will be write up my initi impress then My gener tip for big Android tab No just no  negative 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
Oscar Well make hi debut over fenc at Punchestown tomorrow It look as though he 'll have Plan A and Darwin Fox to overcom  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Anyon go to volleybal game tomorrow ?  objective 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
Tim Roth will be play in a movi with Jean Dujardin i ca n't ok i may pass out now  negative 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 
State Farm agent Scott Keller place 53rd today of all 1st year agent in the US ! A pool of some 1500 agent  objective 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
||T|| FRIDAY OCT 19th ! ! ! ! THE ALUMNI will be rock Philli ! ! ! ! ! FREE SHOW at the Liacoura Center 7pm CLASSIC HIP HOP !  positive 1 0 1 1 0 0 0 0 0 0 1 1 1 0 1 
Bowl Doubl tomorrow Hope everyth will be good tomorrow Let the luck be with us  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Trey Songz will be here Decemb 7 at the Fox Theatr  objective 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Good luck to the player that have their Fife and Taysid trial tomorrow Show them what you can do  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Twinkl Toe D Really Laurin ? That 's whi you 're just my 2nd favorit Lolo Jone  objective-OR-neutral 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 
fashion against aid H&M releas tomorrow online..I want that aztec print jacket..so not me but so colour !  positive 1 0 1 1 0 0 1 0 0 0 1 1 0 0 1 
Eight book for West Ham ? Eight ! That whir sound you hear may be the late Bobbi Moor etc etc.  objective-OR-neutral 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 
On Sunday watch Sarah G Live one of Myrtl ` s dream will come true togeth with Melai ||T|| will have a song number with Sarah G  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Hear keynot speaker Doug Wead thi Saturday June 16th at E2 the Event Do n't miss it ! ||U||  positive 1 0 1 1 0 0 1 0 0 0 1 1 0 0 1 
||T|| Will miss yeah on the Red Carpet tomorrow ! !  positive 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 
||U|| Doug Wead interview LIVE tonight Wed 10pm EDT we have link and other video Pleas RETWEET  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
The hottest open microphon is team up with the hottest organ in Tallahasse You DO N'T want to be left out Join us NEXT FRIDAY 10pm ! !  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Here 's a great Bioshock Infinit trailer for those of you that need a teas while wait for it 's February. ||U||  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
World Bank 's Africa can help feed Africa report 1 reason the Borderless 2013 is so import find solut ||U||  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Go to 2nd Annual Kick-Out Hate Kickbal Tournament on the soccer field right now !  objective-OR-neutral 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 
You know what ? Goon may be a low brow comedy but it wa fun as hell Go netflix it  positive 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 
||T|| Hey Emile do you have plan to LP ani more 3rd Parti Nintendo Consol Titles such as Fragil Dreams Last Story or Klonoa ?  neutral 1 0 1 1 0 0 0 0 1 0 0 1 0 0 1 
Nascar Daytona 500 New Journal Complet Feb 19 1978 Newspap from the Daytona 500 Race ||U||  objective 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Tonight 8pm Stardust Skate Center FREE befor 9 30pm Host by it alway fun when you roll ! ! ! haha x2  positive 1 0 1 1 0 0 0 0 0 0 1 1 1 0 0 
Pire For Cesc it is difficult becaus at Arsen he knew he wa go to play everi Saturday wa the captain of the team and a crack.  objective-OR-neutral 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
NOVEMB SUPER TOUR Nov 10-11 Rockwel Ten Nov 9 16 23 ABS-CBN Friday Market Meet Super Tuyo and Friend ! See you ! e1  positive 1 0 1 1 0 0 0 0 0 0 1 1 1 0 1 
Origin plan releas date for Blue Diamond X Oct 6 Instead Nike drop two new Bron style on the same day as the Rose 3 launch.  objective 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 
||T|| The Galaxi S III will be avail in select store thi weekend and in all MetroPC store &amp onlin on Monday the 22nd Thx,JG  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
||T|| ||T|| haha the Buc Come On the t wolv are way better than them love Rubio ak 47 Derrick William b Roy ! ! Shved is good 2  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
The Late-Octob Best Pictur Oscar Predict You 've Been Wait For Coverag of the Oscar ha reache. ||U||  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
My feel about fear is if you voic your fears they may come true I 'm superstiti enough to believ that Meryl Streep  positive 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
highlight of my day wa buy my ticket to see Ferri Corsten and Marku Schulz ||T|| Novemb 10th  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Ron Paul Snr Advisor Doug Wead Interview with Frost # 8211 Mar 31 2012 ||U||  objective 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 
What a comeback by the AirAsia PH Patriot Down 15 late in 2nd &amp 9 after 3 the Pat won 90-84 over the Singapor Slinger  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
||T|| we 're go to have to go see Magic Mike befor the Jeff Timmon thing next Friday ! !  objective 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
even though there is rampag tonight a gig tomorrow the best thing about my weekend will be see ||T||  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
move to covina in decemb thing are look up right about now !  positive 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
and now I do see it 's up I 'll blame it on a case of the Monday Creighton pick to win WBB SIU pick to finish 8th ahead of Drake UE  negative 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 
Come see my brother tonight at the Roxi ! at CurtClendenin An event page found on googl for my show tomorrow ! ||U||  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
||T|| Becaus I went to my 1st match when I wa 4 ? My last match wa the Carl Cup Final ||U||  neutral 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 
Goin to the East playoff game tomorrow  positive 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Wild rush for their 4th TD of the night The Wichita Wild have push their lead to 59-35 over the Allen Wranglers. ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Delici warm sun...great to see you if onli briefli after hurrican sandi whip through here a coupl hour ago  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Just bought my ticket to go am watch the Romeo Santo concert in theater Nov 5 need to hurri up ! ! I 'm so excit  positive 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 
NFU unchang for the 4th success game tonight Nicklin Gardner Peat King Anderson Hunter Bolder Muldoon Bradshaw &amp William  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Michael Clark look reasonabley comfort against the Gordon CC 1st Grade attack today  positive 1 1 1 0 1 0 0 0 0 0 0 1 0 0 1 
Spoke to Phil Jagielka earlier He discuss the long ball issu veri sensibl Interview will be in tomorrow 's ECHO  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
||T|| serious ! itun put like an entir minut as a preview so 20 second is noth AND I KNOW ! it need to be monday ASAP !  objective-OR-neutral 1 1 1 1 0 0 0 0 0 0 1 1 0 0 1 
||T|| good look homie Im go to pretti light tomorrow night so let burn it down ASAP after that  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
||T|| did i read the baron schedul right when it said we play the dalla star at home on sunday ?  neutral 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 
Alright Run it mek we done it ! ! ! AmboZia Juli 7 at Oneil 's Place Bar,Karaok &amp Loung MaDDD Rasss ||U||  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
||T|| ||T|| ||T|| Mommi say she can print it small &amp put it right on Octob 31 How is Lili do ?  neutral 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
Ca n't wait for skyfal 1st of Nov ! Is listen to the OST on spotifi consid a spoiler ? I e1  positive 0 0 1 0 0 1 1 0 1 0 1 1 0 0 1 
||T|| everi Saturday night at the Roxy. laugh out loud  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Ricki Pont wa pull out of a Sheffield Shield game on Friday with a hamstr injuri ||U||  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
I 'm in Petrolia The sun 's out is n't that bright enough for you ? e1  positive 0 1 1 0 1 0 1 0 1 0 0 1 0 0 0 
||T|| Huum if you 're hungry come to Tunisia we have delici food here ! Huum Nialler alway eat Oh c'mon !  positive 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
World Bank earmark $ 245 million for Myanmar outlin 18-month work plan The World Bank said on Thursday it ha. ||U||  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Norwich Citi are the 6th team into the Capit One Cup Quarter Final  objective 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
= at keeyatami I get LOVESTRUCK with Deniess and Slater Swear They look cute Plu I can relat to Deniess pacut to her crush Slater  positive 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 
SB K-Pop Super Concert on Nov 10th in the Unit States with SNSD 2NE1 T-ara BEAST CNBLUE KARA SISTAR Ca n't rememb tiarafact  objective-OR-neutral 1 0 1 1 0 0 1 0 0 0 0 1 0 0 1 
Aussi Direction Do you want to win a prize of a lifetim ? Then listen to ||T|| on Monday at 7pm  objective-OR-neutral 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 
So glad I walk past the Girl Scout tabl today It 's a much better Saturday know I 'm one box of Thin Mint richer  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Give blood tomorrow &gt &gt &gt &gt go to TOK  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
ATTN FOLK Guardian ha a truck with gener at Union Square/14th Street offer free devic recharg Fri 11-8pm Pass it along  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
||T|| okay i will remind you of thi convers in march when brook beat devon alexand for a world titl And khan still ha glass chin  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| watch Cannavaro on the 2nd even more embarrass  negative 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
For the 2nd weekend in a row Norwich Citi get a lucki break Still would n't be surpris if Villa win but Norwich got to get someth now  positive 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 
Everyon show up again tomorrow that Chardon game wa too much fun to not do it again ! !  positive 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 
Tonight wa just a preview of what Bob Jone will do to Austin at tomorrow 's vball game VBC Noon  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
VHL American Hockey Leagu MON APR 23 2012 10PM Devil 3 at American 4 i do n't know if the game stat are ||U||  neutral 0 1 1 0 1 0 1 0 0 0 0 1 0 0 1 
||T|| are you go to Petrolia 's game tomorrow ? I still havent got to see you or the babi !  negative 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 
The Stone on a Thursday morn make Adi happi Keith Richards stash would make me happier  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Can not fuck wait for tomorrow night Hous Of Blue will never be the same after ||T|| ||T|| and ||T||  negative 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 
The media file center at the Univers of Denver empti now will be bustl tomorrow #utpol ||U||  neutral 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 
||T|| read the Book again at Circ now intend to finish on 16th Radio 4 ha programm all day so I 'll be listen to most !  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 
INFO Tomorrow EXO M will be go to Nanj via sotea123  objective 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Il Divo 24 Septemb 2012 Il Divo have just confirm two more date Octob 14 in Bueno Air and Octob 28. ||U||  objective 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
MayorOfLondon Join in tomorrow at the excit London Children 's Book Swap event for famili who love to read ||U||  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| It is predict that the Winter Classic and the All-Star game will be cancel thi upcom Monday FUCK ! ! !  negative 0 1 1 0 1 0 0 0 0 0 1 1 0 1 0 
||T|| under pressur release Eurovision Victori album realease 1st European Tour Eurosong waterline your Favorit pictur with them  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
||T|| That would kill me...I 'm go to go live in Siberia so I do n't get hive everi time the sun come out  negative 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 
Former RHP Kyle Gibson # Twin will start in the Arizona Fall Leagu Rise Star Game on Sat 7pm on MLB TV  neutral 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 
||T|| They launch the day of the Carl Cup Final did you not see the Dont Buy The Sun poster ?  objective-OR-neutral 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 
so EXO-M is go to Nanj tomorrow okay can  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
DEPARTUR of ship AL DHAFRAH Port ABU DHABI Time Nov 2 2012 3 09AM UTC Time of arrival/departur is the time the vessel app.  objective 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
THANK TO THOSE WHO CAME DOWN TODAY ! ! Thank for the love tonight ! ! BKK bound now ! ! See yeah parti peopl next wednesday ! ! &lt 3 GHETTO e1  positive 1 0 1 1 0 0 0 0 0 0 1 1 1 0 1 
||T|| The tour date got updat ! Fox Theatr on the 24th or the 26th ? I do n't want to fuck thi up  negative 1 1 1 1 0 0 1 0 1 0 1 1 0 0 0 
NBA Predict Champ MIA Runner Up LAL MVP LeBron 6th man Ginobl Rooki of the year Davi Most Improv Paul Georg  positive 1 1 1 1 0 0 0 0 0 0 0 1 0 1 1 
Big congratul goe out to Tampa Bay Damag for 2nd Place at Cup and 2nd Place overal in the Paintbal Sports. ||U||  positive 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
And the 2013 NBA All-Star game will be play on Februari 17 at Toyota Center in Houston Texa Need I say more.  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
||T|| Hi matey appreci you pass on my Busi card around work ! We have enough food until Friday in the Turner hous !  positive 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
Wait for a phone call off the head of Joseph Wright But I might have to go back to Benedict tomorrow ! e-1  negative 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 
||T|| Brand ? I 'm wait for a Ticketek voucher to come through If it 's not here by Tuesday though I 'll just pay full price  neutral 0 1 1 0 1 0 1 0 1 0 0 1 0 0 0 
Head to the ||T|| show tomorrow morn with Mommi Let hope we get front row  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Toni Gonzaga will be in Legazpi on Octob 30 Huhuhuhu I want to cri i want to come but how ? I do n't have money Waaaah ||T||  negative 1 0 1 1 0 0 1 0 1 0 0 1 0 0 0 
My daili tweet 10/05 in memori of Trayvon Martin kill 223 day ago ~ May you Rest in Peac ~ Thought of love to famili  negative 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
Watch out for ||T|| togeth with Divine Deniess and the BIG4 at the Pacif Mall Legazpi Landco Plaza on April 30 6pm  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Confirm that the Armi v Navi at Twicker is 27 April 2012 weekend off again ! !  objective 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
Emm 's 10th birthday cake e1 with Big Time Rush ! ||U|| via ||T||  positive 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
Reminder We hope to see you tomorrow night at Volstead ! detail on our FB page at ||U||  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
On a Saturday in Zimmerman I watch it begin again  objective 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
On Octob 19th the new judg in the Georg Zimmerman trial rule that Trayvon social media interact would. ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Also,SPREAD THE WORD about our fundrais begin Septemb 17 to rais fund for a 30 second commerci dure the 2013 NBA All-Star Game  objective 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Want to see the All-Star game tomorrow  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
I just got excit becaus I found out that Ami Lee 's birthday is the 13th of Decememb Guys that is a DAY befor my birthday ! SO CLOSE ! !  positive 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
Just a head up LP may take some time befor I can start record A lot of work is go to go into thi next project  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
||T|| I 'm think I wear a singlet tomorrow for sport day ! Haha Oh how I miss marana spirit day !  neutral 1 1 1 1 0 0 0 0 0 0 1 1 0 0 0 
If you thought the One Direct toothpast wa odd tri the Rammstein dildo ||U||  neutral 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
Save the date The World Bank 's new Do Busi report will be out Octob 23  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Romeo Santo go to have someth in the theatr Novemb 5  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Out tomorrow The Player ! With Jean Dujardin and Gill Lelouch take on the theme of infidel ||U||  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
||T|| I 'd have gladli chum you but I 'm bikeless in Taysid thi weekend Free Tuesday and flexibl Wednesday  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Billi Crystal attend the special 25th Anniversari Screen of 'The Princess Bride at the New York Festiv ||U||  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| We had great set of talk &amp tour of the new lock &amp water recycl plant yesterday at Olymp Park The sun even came out !  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
The Clown ha broken the record and becom the 1st film to win 12 Brazilian Academi Award yesterday ||U||  neutral 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
I 'm tire but I 'm not. I may watch the end of Zombieland just becaus Tallahasse is my spirit anim ADKAHSK  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Just unload Jimando at Flemington fight fit and readi for the Derbi tomorrow !  positive 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 
Clever ! | | Australian captain Michael Clark team up with Loui Vuitton in special cricket trunk design | Herald Sun ||U||  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
||T|| Which one are you there for ? ||T|| myself and some friend will be at the SA game go to Twicker town for drink 1st ?  objective 1 0 1 1 0 0 0 0 1 0 0 1 0 0 1 
||T|| I got a call from bcc say the colleg is open but Christian text my dad say BCA doesnt have school tomorrow  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Back in Norwich Citi centr on a Wednesday night I am hope the 'grunge look is in honour of halloween and not 'back !  objective-OR-neutral 1 0 1 1 0 0 1 0 0 0 1 1 0 0 0 
||U|| vote for UT for colleg game day visit We are 10th and Texa A&m is Get on it  positive 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
||T|| that year is to be unspoken of Rememb those rubber bracelet too ? I may or may not have a dog tag with Cannavaro on it..  objective-OR-neutral 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 
||T|| thank Rachel Will give it a tri ! Love the book &amp the Saturday Kitchen repeats.  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
||T|| ||T|| I 'm go to tri to bring the ||T|| to Volstead on Sat What you guy do tomorrow ?  objective-OR-neutral 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 
KLUB ACE ! ! ! Klub ACE ! ! ! Thi SATURDAY ! ! ! $5 with your colleg id until 11 30  objective 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
Monday alreadi That 's OK at Volar Restaur Chicago we have the perfect meal wait for you today We. ||U||  positive 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 
Oct 2nd 1976 John Belushi perform with Joe Cocker on Saturday Night Live ||U||  objective 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Derbi may no longer negoti with police firefight union Derbi is consid a move that would end negoti. ||U||  objective-OR-neutral 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
Thank you Happiest Babi on the Block I may sleep a coupl hour tonight due to your teach !  positive 1 1 1 1 0 0 0 0 0 0 1 1 0 0 0 
TOK tomorrow is go to be heat over ObamaCar  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
||T|| Lmbo ! O yea ? Ayy you know they take us to Harold Washington tomorrow for that colleg stuff  objective-OR-neutral 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 
Watch the 2012 Independ Spirit Award THI SATURDAY and chat live with ||T|| and ||T|| ||U||  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
I think I 'm go to head to Ulta tomorrow and see if they carri the Red Carpet Manicur gel polish in store I want black gel polish ASAP  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Rudd rain on Abbott 's parad KEVIN Rudd may be tri to spoil Julia Gillard 's parti but yesterday he gate-cra. ||U||  negative 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
